riis on geniaaln,CPU Name,Cores,Price,CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Test Date,Socket,Category
,AMD Ryzen 9 PRO 3900,12,NA,"31,484",NA,"2,631",NA,65,484.36,Sep 2019,AM4,Desktop
,AMD Ryzen Embedded R1505G,2,NA,"3,966",NA,"1,817",NA,15,264.42,Jul 2019,FP5,"Laptop, Mobile/Embedded"
,AMD Ryzen Embedded V1202B,2,NA,"3,823",NA,"1,654",NA,15,254.90,Oct 2018,FP5,"Laptop, Mobile/Embedded"
,AMD Ryzen Embedded V1500B,4,NA,"4,194",NA,"1,083",NA,16,262.09,Apr 2021,BGA1140,Mobile/Embedded
,AMD Ryzen Embedded V1605B,4,NA,"6,809",NA,"1,947",NA,15,453.94,Oct 2018,FP5,"Laptop, Mobile/Embedded"
,AMD Ryzen Embedded V1807B,4,NA,"8,359",NA,"2,177",NA,45,185.75,Aug 2018,FP5,"Laptop, Mobile/Embedded"
,AMD Ryzen Embedded V2748,8,NA,"16,186",NA,"2,646",NA,54,299.74,May 2021,FP6,Mobile/Embedded
,AMD Ryzen Threadripper 1920,12,NA,"22,066",NA,"2,299",NA,140,157.62,Aug 2021,sTR4,Desktop
,AMD Ryzen Threadripper 1950X,16,$999.99,"27,461",27.46,"2,286",2.29,180,152.56,Aug 2017,sTR4,Desktop
,AMD Ryzen Threadripper 2950X,16,$999.99,"29,842",29.84,"2,474",2.47,180,165.79,Sep 2018,sTR4,Desktop
,AMD Ryzen Threadripper 2990WX,32,"$1,815.95","32,573",17.94,"2,312",1.27,250,130.29,Aug 2018,sTR4,Desktop
,AMD Ryzen Threadripper 3960X,24,"$1,797.00","54,726",30.45,"2,681",1.49,280,195.45,Dec 2019,sTRX4,Desktop
,AMD Ryzen Threadripper 3990X,64,"$5,099.57","81,065",15.90,"2,568",0.50,280,289.52,Feb 2020,sTRX4,Desktop
,AMD Ryzen Threadripper PRO 3955WX,16,"$1,129.99","40,290",35.66,"2,704",2.39,280,143.89,Sep 2020,sTRX4,Desktop
,AMD Ryzen Threadripper PRO 3995WX,64,"$5,489.00","85,365",15.55,"2,628",0.48,280,304.88,Sep 2020,sTRX4,Desktop
,AMD Sempron 140,1,$11.95*,479,40.11,"1,047",87.61,45,10.65,Aug 2009,AM3,Desktop
,AMD Sempron 150,1,$14.95*,498,33.32,"1,079",72.16,45,11.07,Apr 2011,AM3,Desktop
,AMD Sempron 2200+,1,$39.95*,184,4.60,279,6.99,NA,NA,Jan 2009,Socket A,Desktop
,AMD Sempron 240,2,$36.10*,"1,278",35.39,"1,300",36.02,65,19.66,Oct 2018,FM2,Desktop
,AMD Sempron 2500+,1,$59.95*,207,3.45,405,6.75,NA,NA,Mar 2009,Socket A,Desktop
,AMD Sempron 2650 APU,2,$69.99,561,8.01,475,6.78,25,22.42,Apr 2014,"AM1,FSB1",Desktop
,AMD Sempron 3000+,1,$34.95*,268,7.66,333,9.53,62,4.32,Dec 2008,AM2,Desktop
,AMD Sempron 3200+,1,$124.68*,288,2.31,356,2.85,62,4.65,Jan 2009,AM2,Desktop
,AMD Sempron 3400+,1,$86.68*,292,3.37,346,3.99,62,4.71,Dec 2008,AM2,Desktop
,AMD Sempron 3600+,1,$15.00*,364,24.24,377,25.13,62,5.86,Mar 2009,AM2,Desktop
,AMD Sempron 3850 APU,4,$49.79,"1,227",24.64,463,9.31,25,49.07,Apr 2014,"AM1,FS1b",Desktop
,AMD Sempron Dual Core 2200,2,$39.95*,563,14.09,649,16.24,65,8.66,May 2009,Unknown,Unknown
,AMD Sempron LE-1100,1,$34.95*,315,9.02,509,14.56,45,7.01,Mar 2009,AM2,Desktop
,AMD Sempron LE-1200,1,$14.95*,349,23.32,551,36.89,45,7.75,Mar 2009,AM2,Desktop
,AMD Sempron LE-1300,1,$27.00*,400,14.81,389,14.42,45,8.89,May 2009,AM2,Desktop
,AMD Sempron M120,1,NA,298,NA,685,NA,25,11.92,Feb 2010,S1,Laptop
,AMD Sempron SI-42,1,$29.99*,261,8.70,650,21.69,25,10.44,Mar 2009,S1,Laptop
,AMD Sempron X2 190,2,$83.44*,879,10.53,977,11.71,45,19.53,Jun 2012,AM2+/AM3,Unknown
,AMD Turion 64 Mobile MK-36,1,NA,334,NA,735,NA,31,10.77,Jan 2009,S1,Laptop
,AMD Turion 64 Mobile ML-28,1,NA,254,NA,314,NA,25,10.16,Mar 2009,754,Laptop
,AMD Turion 64 Mobile ML-32,1,NA,285,NA,321,NA,35,8.13,Dec 2008,754,Laptop
,AMD Turion 64 Mobile ML-37,1,$25.99*,334,12.86,510,19.61,35,9.55,Mar 2009,754,Laptop
,AMD Turion 64 Mobile ML-42,1,NA,400,NA,455,NA,35,11.43,May 2009,754,Laptop
,AMD Turion 64 Mobile MT-30,1,NA,246,NA,294,NA,25,9.85,Mar 2009,754,Laptop
,AMD Turion 64 Mobile MT-34,1,NA,279,NA,328,NA,24,11.62,Mar 2009,754,Laptop
,AMD Turion 64 X2 Mobile TL-50,2,$18.99*,448,23.61,535,28.17,31,14.46,Feb 2009,S1,Laptop
,AMD Turion 64 X2 Mobile TL-56,2,$65.40*,453,6.93,579,8.85,31,14.62,Feb 2009,S1,Laptop
,AMD Turion 64 X2 Mobile TL-60,2,$15.95*,623,39.05,702,44.00,31,20.09,Feb 2009,S1,Laptop
,AMD Turion 64 X2 Mobile TL-64,2,$39.39*,692,17.58,770,19.56,35,19.78,Mar 2009,S1,Laptop
,AMD Turion 64 X2 Mobile TL-68,2,$90.00*,861,9.56,887,9.85,35,24.59,Mar 2009,S1,Laptop
,AMD Turion Dual-Core RM-72,2,$29.99*,649,21.63,725,24.16,35,18.53,Feb 2009,S1,Laptop
,AMD Turion Dual-Core RM-75,2,$21.49*,659,30.65,444,20.67,35,18.82,Aug 2009,S1,Laptop
,AMD Turion II Dual-Core Mobile M520,2,$69.10*,792,11.46,917,13.27,35,22.62,Oct 2009,S1,Laptop
,AMD Turion II N530 Dual-Core,2,$30.00*,855,28.51,968,32.27,35,24.44,Jun 2010,S1,Laptop
,AMD Turion II Neo K625 Dual-Core,2,NA,565,NA,596,NA,15,37.66,Jun 2010,S1,Laptop
,AMD Turion II Neo N40L Dual-Core,2,NA,589,NA,609,NA,15,39.24,Dec 2011,BGA812,Laptop
,AMD Turion II P520 Dual-Core,2,NA,790,NA,892,NA,25,31.62,Jun 2010,S1,Laptop
,AMD Turion II P560 Dual-Core,2,NA,818,NA,931,NA,25,32.73,Jan 2011,S1,Laptop
,AMD Turion II Ultra Dual-Core Mobile M620,2,NA,814,NA,945,NA,35,23.25,Feb 2010,S1,Laptop
,AMD Turion II Ultra Dual-Core Mobile M660,2,NA,"1,011",NA,"1,103",NA,35,28.90,Mar 2010,S1,Laptop
,AMD Turion X2 Dual Core L510,2,NA,603,NA,593,NA,20,30.13,Jul 2010,ASB1,Laptop
,AMD Turion X2 Dual Core Mobile RM-76,2,NA,691,NA,729,NA,35,19.76,Sep 2009,S1,Laptop
,AMD Turion X2 Dual-Core Mobile RM-72,2,$224.26*,644,2.87,745,3.32,35,18.41,Nov 2008,S1,Laptop
,AMD Turion X2 Dual-Core Mobile RM-75,2,NA,708,NA,770,NA,35,20.23,May 2009,S1,Laptop
,AMD Turion X2 Ultra Dual-Core Mobile ZM-80,2,$49.95*,583,11.67,707,14.15,32,18.21,Mar 2009,S1,Laptop
,AMD Turion X2 Ultra Dual-Core Mobile ZM-84,2,$18.99*,793,41.74,778,40.99,35,22.65,Feb 2009,S1,Laptop
,AMD Turion X2 Ultra Dual-Core Mobile ZM-86,2,$61.00*,695,11.39,820,13.44,35,19.84,Apr 2009,S1,Laptop
,AMD TurionX2 Dual Core Mobile RM-70,2,NA,536,NA,674,NA,31,17.28,Feb 2009,S1,Laptop
,AMD TurionX2 Ultra DualCore Mobile ZM-85,2,NA,841,NA,686,NA,35,24.03,Feb 2014,S1,Laptop
,AMD V120,1,NA,362,NA,812,NA,25,14.48,Jun 2010,S1,Laptop
,AMD V160,1,NA,337,NA,838,NA,25,13.50,Jan 2011,S1,Laptop
,AMD Z-60 APU,2,NA,262,NA,318,NA,4.5,58.26,Mar 2013,FT1,Laptop
,Apple A11 Bionic,6,NA,"4,105",NA,"1,102",NA,NA,NA,NA,Unknown,Mobile/Embedded
,Apple A12X Bionic,8,NA,"10,875",NA,"2,608",NA,NA,NA,NA,Unknown,Mobile/Embedded
,Apple A14 Bionic,6,NA,"8,534",NA,"3,410",NA,NA,NA,NA,Unknown,Mobile/Embedded
,Apple A8X,3,NA,"2,359",NA,935,NA,NA,NA,NA,Unknown,Mobile/Embedded
,Apple A9X,2,NA,"2,524",NA,"1,520",NA,NA,NA,NA,Unknown,Mobile/Embedded
,Apple M1 Max 10 Core 3200 MHz,10,NA,"23,468",NA,"3,844",NA,NA,NA,Oct 2021,Unknown,"Desktop, Laptop"
,Apple M1 Pro 8 Core 3200 MHz,8,NA,"18,190",NA,"3,788",NA,NA,NA,Oct 2021,Unknown,"Desktop, Laptop"
,ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,4,NA,362,NA,274,NA,NA,NA,Jan 2021,Unknown,Unknown
,ARM Cortex-A53 4 Core 0 MHz,4,NA,285,NA,132,NA,NA,NA,May 2021,Unknown,Unknown
,ARM Cortex-A53 4 Core 1200 MHz,4,NA,343,NA,219,NA,NA,NA,Feb 2021,Unknown,Unknown
,ARM Cortex-A53 4 Core 1392 MHz,4,NA,459,NA,191,NA,NA,NA,Nov 2021,Unknown,Unknown
,ARM Cortex-A53 4 Core 1512 MHz,4,NA,448,NA,229,NA,NA,NA,Mar 2021,Unknown,Unknown
,ARM Cortex-A53 4 Core 1800 MHz,4,NA,557,NA,247,NA,NA,NA,Feb 2021,Unknown,Unknown
,ARM Cortex-A55 4 Core 2100 MHz,4,NA,719,NA,328,NA,NA,NA,Oct 2021,Unknown,Unknown
,ARM Cortex-A57 4 Core 1734 MHz,4,NA,"1,172",NA,387,NA,NA,NA,Nov 2021,Unknown,Unknown
,ARM Cortex-A57 8 Core 1500 MHz,8,NA,"1,022",NA,346,NA,NA,NA,Feb 2021,Unknown,Unknown
,ARM Cortex-A7 2 Core 960 MHz,2,NA,93,NA,140,NA,NA,NA,Mar 2021,Unknown,Unknown
,ARM Cortex-A7 4 Core 1368 MHz,4,NA,337,NA,264,NA,NA,NA,Apr 2021,Unknown,Unknown
,ARM Cortex-A72 16 Core 0 MHz,16,NA,"5,435",NA,600,NA,NA,NA,Aug 2021,Unknown,Unknown
,ARM Cortex-A72 4 Core 0 MHz,4,NA,"4,010",NA,"2,426",NA,NA,NA,Aug 2021,Unknown,Unknown
,ARM Cortex-A72 4 Core 1750 MHz,4,NA,335,NA,463,NA,NA,NA,Aug 2021,Unknown,Unknown
,ARM Cortex-A72 4 Core 1850 MHz,4,NA,199,NA,343,NA,NA,NA,Aug 2021,Unknown,Unknown
,ARM Cortex-A72 4 Core 2100 MHz,4,NA,696,NA,542,NA,NA,NA,Aug 2021,Unknown,Unknown
,ARM Cortex-A72 4 Core 2300 MHz,4,NA,"1,314",NA,812,NA,NA,NA,Sep 2021,Unknown,Unknown
,ARM Cortex-A72 8 Core 0 MHz,8,NA,"3,906",NA,"1,531",NA,NA,NA,Jul 2021,Unknown,Unknown
,ARM Neoverse-N1 1 Core 0 MHz,1,NA,791,NA,"1,197",NA,NA,NA,Oct 2021,Unknown,Unknown
,ARM Neoverse-N1 2 Core 0 MHz,2,NA,"1,577",NA,"1,374",NA,NA,NA,Jan 2021,Unknown,Unknown
,ARM Neoverse-N1 6 Core 0 MHz,6,NA,"4,756",NA,"1,299",NA,NA,NA,May 2021,Unknown,Unknown
,ARM Neoverse-N1 80 Core 0 MHz,80,NA,"37,809",NA,"1,311",NA,NA,NA,Sep 2021,Unknown,Unknown
,ARM phytium FT1500a 4 Core 2000 MHz,4,NA,"1,579",NA,716,NA,NA,NA,Feb 2021,Unknown,Unknown
,Athlon 64 Dual Core 3800+,2,NA,736,NA,653,NA,35,21.03,May 2014,Unknown,Unknown
,Athlon 64 Dual Core 5600+,2,NA,875,NA,993,NA,65,13.46,Feb 2010,AM2,Desktop
,Athlon Dual Core 4450e,2,NA,681,NA,792,NA,45,15.12,Dec 2009,AM2,Desktop
,BCM2711,4,NA,809,NA,582,NA,NA,NA,NA,Unknown,Mobile/Embedded
,Celeron Dual-Core T3100 @ 1.90GHz,2,$32.00,519,16.22,566,17.68,35,14.83,Oct 2009,BGA479,Laptop
,Celeron Dual-Core T3500 @ 2.10GHz,2,NA,768,NA,872,NA,35,21.94,Nov 2010,PGA478,Laptop
,Dual-Core AMD Opteron 1220 SE,2,NA,748,NA,900,NA,103,7.26,Aug 2016,AM2,Server
,"Haydn based on Qualcomm Technologies, Inc SM8350",8,NA,"4,609",NA,"1,838",NA,NA,NA,NA,Unknown,Mobile/Embedded
,HiSilicon Kirin 650,8,NA,"1,604",NA,629,NA,NA,NA,NA,Unknown,Mobile/Embedded
,Hisilicon Kirin 930,8,NA,"1,330",NA,424,NA,NA,NA,NA,Unknown,Mobile/Embedded
,HiSilicon Kirin 960,8,NA,"2,401",NA,"1,069",NA,NA,NA,NA,Unknown,Mobile/Embedded
,Hisilicon Kirin710,8,NA,"2,160",NA,948,NA,NA,NA,NA,Unknown,Mobile/Embedded
,Hisilicon Kirin820,8,NA,"2,226",NA,"1,660",NA,NA,NA,NA,Unknown,Mobile/Embedded
,Hisilicon Kirin970,8,NA,"2,243",NA,901,NA,NA,NA,NA,Unknown,Mobile/Embedded
,Hisilicon Kirin985,8,NA,"4,162",NA,"1,823",NA,NA,NA,NA,Unknown,Mobile/Embedded
,HP Hexa-Core 2.0GHz,4,$504.27*,"1,741",3.45,804,1.59,NA,NA,Nov 2014,Unknown,Unknown
,Intel Atom 230 @ 1.60GHz,1,NA,210,NA,167,NA,4,52.61,Mar 2009,BGA437,Desktop
,Intel Atom C2338 @ 1.74GHz,2,NA,584,NA,233,NA,7,83.40,Oct 2014,FCBGA1283,Laptop
,Intel Atom C2358 @ 1.74GHz,2,NA,625,NA,291,NA,7,89.24,Jun 2016,FCBGA1283,Laptop
,Intel Atom C2550 @ 2.40GHz,4,NA,"1,422",NA,554,NA,14,101.57,Aug 2014,FCBGA1283,Server
,Intel Atom C2750 @ 2.40GHz,8,$232.00*,"2,775",11.96,658,2.83,20,138.77,Mar 2014,FCBGA1283,Server
,Intel Atom C2758 @ 2.40GHz,8,$214.86*,"2,056",9.57,333,1.55,20,102.78,Jul 2015,BGA 1283,"Laptop, Mobile/Embedded"
,Intel Atom C3538 @ 2.10GHz,4,$75.00*,"1,756",23.41,669,8.92,15,117.06,May 2018,FCBGA1310,Server
,Intel Atom C3758 @ 2.20GHz,8,$193.00*,"4,675",24.22,857,4.44,25,187.00,Apr 2020,FCBGA1310,Server
,Intel Atom C3958 @ 2.00GHz,16,$449.00*,"4,281",9.53,514,1.15,31,138.10,Aug 2019,FCBGA1310,Server
,Intel Atom D2550 @ 1.86GHz,2,NA,405,NA,306,NA,10,40.48,Jul 2012,BGA559,Desktop
,Intel Atom D2700 @ 2.13GHz,2,NA,481,NA,385,NA,10,48.10,Dec 2011,BGA559,Desktop
,Intel Atom D410 @ 1.66GHz,1,$635.99*,177,0.28,243,0.38,10,17.67,Feb 2010,BGA559,Desktop
,Intel Atom D510 @ 1.66GHz,2,$97.16*,397,4.09,292,3.00,13,30.54,Jan 2010,BGA559,Desktop
,Intel Atom E3815 @ 1.46GHz,1,$135.00*,159,1.17,238,1.76,5,31.70,May 2014,FCBGA1170,Desktop
,Intel Atom E3826 @ 1.46GHz,2,NA,304,NA,395,NA,7,43.45,Jun 2016,FCBGA1170,Laptop
,Intel Atom E3840 @ 1.91GHz,4,NA,704,NA,477,NA,NA,NA,Jan 2014,Unknown,Unknown
,Intel Atom E3900 @ 1.60GHz,4,NA,"1,953",NA,675,NA,NA,NA,Jan 2017,Unknown,Laptop
,Intel Atom E3950 @ 1.60GHz,4,NA,"2,092",NA,737,NA,12,174.35,Nov 2016,BGA1296,Laptop
,Intel Atom N2600 @ 1.60GHz,2,NA,323,NA,292,NA,3.5,92.35,Feb 2012,BGA559,Laptop
,Intel Atom N280 @ 1.66GHz,1,NA,175,NA,226,NA,2.5,69.92,Feb 2009,BGA437,Laptop
,Intel Atom N435 @ 1.33GHz,1,NA,153,NA,220,NA,NA,NA,Oct 2011,Unknown,Unknown
,Intel Atom N455 @ 1.66GHz,1,NA,162,NA,258,NA,6.5,24.95,Aug 2010,BGA559,Laptop
,Intel Atom N475 @ 1.83GHz,1,NA,179,NA,281,NA,6.5,27.61,Sep 2010,BGA559,Laptop
,Intel Atom N570 @ 1.66GHz,2,$86.00*,335,3.89,282,3.28,8.5,39.40,Apr 2011,BGA559,Laptop
,Intel Atom T5700 @ 1.70GHz,4,NA,"1,326",NA,549,NA,NA,NA,Jul 2018,Unknown,Laptop
,Intel Atom x5-E8000 @ 1.04GHz,4,NA,985,NA,509,NA,5,196.92,Apr 2016,FCBGA1170,Laptop
,Intel Atom x5-Z8330 @ 1.44GHz,4,NA,825,NA,475,NA,4,206.33,Aug 2016,Unknown,Laptop
,Intel Atom x5-Z8500 @ 1.44GHz,4,$62.57*,"1,230",19.66,631,10.09,4,307.59,Aug 2015,UTFCBGA1380,Laptop
,Intel Atom x6211E @ 1.20GHz,2,$35.00*,"1,695",48.43,"1,304",37.25,6,282.52,May 2021,FCBGA1493,Mobile/Embedded
,Intel Atom x7-Z8700 @ 1.60GHz,4,$73.63*,"1,312",17.82,649,8.82,4,327.99,Apr 2015,BGA1380,Laptop
,Intel Atom Z2760 @ 1.80GHz,2,NA,298,NA,206,NA,NA,NA,Sep 2012,FC-MB4760,Laptop
,Intel Atom Z3580 @ 1.33GHz,4,NA,805,NA,525,NA,NA,NA,Jul 2015,Unknown,"Laptop, Mobile/Embedded"
,Intel Atom Z3735E @ 1.33GHz,4,$117.00*,557,4.76,478,4.08,4.4,126.59,Jun 2014,UTFCBGA1380,Laptop
,Intel Atom Z3735G @ 1.33GHz,4,NA,766,NA,478,NA,4.4,174.00,Oct 2014,Unknown,Laptop
,Intel Atom Z3740 @ 1.33GHz,4,NA,659,NA,427,NA,4,164.82,Jul 2013,UTFCBGA1380,Laptop
,Intel Atom Z3745 @ 1.33GHz,4,$30.00*,621,20.72,435,14.51,4,155.37,Feb 2014,UTFCBGA1380,Laptop
,Intel Atom Z3770 @ 1.46GHz,4,$149.44*,738,4.94,542,3.63,4,184.46,Dec 2013,UTFCBGA1380,Laptop
,Intel Atom Z3775 @ 1.46GHz,4,$500.00*,754,1.51,538,1.08,4,188.38,Jul 2014,UTFCBGA1380,Laptop
,Intel Atom Z3795 @ 1.60GHz,4,NA,"1,142",NA,651,NA,4,285.55,Jun 2014,UTFCBGA1380,Laptop
,Intel Atom Z530 @ 1.60GHz,1,NA,183,NA,161,NA,2,91.43,Mar 2009,BGA441,Laptop
,Intel Celeron 1.70GHz,1,NA,101,NA,190,NA,NA,NA,Feb 2009,Unknown,Unknown
,Intel Celeron 1000M @ 1.80GHz,2,NA,"1,022",NA,968,NA,35,29.19,Mar 2013,FCPGA988,Laptop
,Intel Celeron 1005M @ 1.90GHz,2,NA,"1,068",NA,"1,012",NA,35,30.52,Jul 2013,FCPGA988,Laptop
,Intel Celeron 1017U @ 1.60GHz,2,NA,844,NA,801,NA,17,49.68,Jul 2013,FCBGA1023,Laptop
